country,city,year,aqi,pm2.5,pm10,deforestation_rate_%,afforestation_rate_%,vehicles_increase_%,industries_increase_%,env_budget_million_usd,population_density_per_sqkm,co2_emissions_mt,green_space_ratio_%,avg_life_expectancy_index,vehicles_per_density,green_space_per_capita
Bangladesh,Rajshahi,2020,189.11,91.15,154.0,4.94,1.09,15.3,9.36,57.19,7914.34,265.59,30.41,72.51,0.0019331997361750949,0.0038423924168029173
Bangladesh,Rajshahi,2020,221.55,122.41,206.17,3.36,1.44,11.98,9.74,79.95,14799.79,246.27,26.16,70.39,0.000809470945195844,0.0017675926482740632
Bangladesh,Rajshahi,2021,273.78,137.03,241.41,2.8,0.15,23.08,14.99,74.76,9657.79,389.52,28.0,66.9,0.0023897806848150556,0.002899214002375284
Bangladesh,Rajshahi,2021,180.62,125.52,162.78,2.66,1.45,17.68,7.41,57.81,15066.17,277.37,26.64,73.07,0.001173490011064524,0.0017681998809252783
Bangladesh,Rajshahi,2021,273.6,115.11,257.64,3.53,0.57,12.39,9.31,92.15,28059.56,283.73,10.12,66.94,0.00044156073723180264,0.000360661393122344
Bangladesh,Rajshahi,2021,158.54,95.71,138.37,2.24,0.64,15.62,8.51,156.31,6083.67,263.59,33.6,74.74,0.0025675291394832394,0.005522982015789811
Bangladesh,Rajshahi,2021,316.49,195.36,317.72,5.4,0.3,21.88,10.47,76.75,15547.57,337.38,19.95,64.05,0.001407293872933198,0.0012831587186936607
Bangladesh,Rajshahi,2021,273.03,184.43,211.39,5.52,0.36,22.0,9.4,147.31,8029.3,335.02,27.51,67.09,0.00273996487863201,0.003426201536871209
Bangladesh,Rajshahi,2021,241.83,146.04,251.19,5.73,0.32,19.28,6.73,114.38,18034.82,278.45,17.2,69.11,0.0010690431066126527,0.0009537106552768477
Bangladesh,Rajshahi,2022,252.73,118.82,242.15,3.34,1.23,17.01,11.11,77.55,20528.15,312.66,19.81,68.31,0.0008286182632141717,0.0009650163312329653
Bangladesh,Rajshahi,2022,297.42,207.92,304.73,4.93,1.4,16.93,8.14,39.51,27544.93,304.25,11.74,65.25,0.0006146321664277238,0.00042621273679040026
Bangladesh,Rajshahi,2022,313.73,169.43,336.94,5.23,0.12,14.09,16.59,131.89,23132.44,338.77,12.0,64.35,0.0006091013312906032,0.0005187520209714151
Bangladesh,Rajshahi,2022,248.53,165.8,200.25,4.94,0.66,16.44,17.3,55.79,6578.85,346.7,30.45,68.54,0.0024989169839713626,0.004628468501333819
Bangladesh,Rajshahi,2022,207.52,123.7,155.18,3.01,1.26,18.83,15.2,45.66,6223.42,361.78,34.55,71.26,0.003025667558994893,0.005551609886525415
Bangladesh,Rajshahi,2022,267.44,123.04,196.55,3.63,0.73,19.67,6.39,131.25,24720.82,317.97,13.83,67.43,0.0007956855800090774,0.0005594474616942318
Bangladesh,Rajshahi,2022,269.85,164.82,202.65,2.21,1.28,20.01,6.13,160.59,29383.53,316.27,12.24,67.33,0.0006809937403708813,0.00041655988916239816
Bangladesh,Rajshahi,2022,275.93,154.31,290.21,5.01,0.67,13.98,11.01,156.22,23770.85,293.49,13.24,66.92,0.0005881152756422257,0.0005569847102648833
Bangladesh,Rajshahi,2022,238.73,158.11,234.38,5.25,0.1,17.0,8.03,32.7,16495.75,283.33,18.56,69.15,0.001030568479759938,0.0011251382931967324
Bangladesh,Rajshahi,2022,265.06,115.21,211.41,1.57,0.43,12.97,12.57,150.65,24482.35,299.78,15.24,67.63,0.0005297694053062718,0.0006224892626729052
Bangladesh,Rajshahi,2022,235.14,163.4,176.88,2.83,1.11,15.35,11.15,120.48,17961.0,305.15,22.53,69.56,0.0008546294749735537,0.0012543844997494572
Bangladesh,Rajshahi,2022,171.24,76.59,170.13,1.89,0.38,11.8,7.82,164.61,9503.67,217.04,29.74,73.91,0.001241625603582616,0.003129317411063305
Bangladesh,Rajshahi,2022,275.08,175.79,281.54,3.91,1.43,10.07,7.36,97.02,29549.37,242.25,10.84,66.86,0.0003407856072735223,0.00036684369243743605
Bangladesh,Rajshahi,2022,268.09,115.27,216.92,4.56,0.9,23.09,13.73,169.4,6034.71,382.9,32.1,67.47,0.0038261987734290463,0.005319228264489926
Bangladesh,Rajshahi,2022,304.33,154.35,272.77,3.9,0.55,20.43,17.95,62.3,9001.17,392.79,28.77,64.84,0.0022697049383580132,0.0031962511540166443
Bangladesh,Rajshahi,2022,204.77,87.81,192.27,4.73,1.09,16.77,6.55,140.55,14375.15,254.35,24.17,71.63,0.0011665965224710699,0.0016813737595781611
Bangladesh,Rajshahi,2023,286.96,155.63,301.68,1.7,0.57,21.34,12.47,91.1,18678.08,379.87,21.32,66.05,0.001142515718960407,0.001141444945090716
Bangladesh,Rajshahi,2023,313.9,125.93,280.36,5.28,1.34,24.76,15.43,107.92,21712.11,426.61,17.03,64.29,0.0011403774207112988,0.0007843549060869717
Bangladesh,Rajshahi,2023,224.37,111.68,208.32,3.83,0.96,19.38,15.81,143.61,5555.99,335.58,33.5,70.33,0.003488127228450735,0.006029528490872014
Bangladesh,Rajshahi,2023,245.12,154.42,180.47,5.54,0.88,19.53,9.64,137.35,5765.01,305.83,31.34,68.93,0.0033876784255361223,0.005436243822647315
Bangladesh,Rajshahi,2023,237.5,156.53,186.73,5.87,1.14,17.93,10.64,75.08,9211.66,286.41,28.35,69.32,0.0019464461345729217,0.0030776211887976763
Bangladesh,Rajshahi,2023,298.31,189.1,300.41,3.84,0.11,11.77,10.92,111.65,26702.85,292.32,9.79,65.34,0.00044077692081556836,0.000366627532267155
Bangladesh,Rajshahi,2023,225.42,110.22,160.81,5.04,0.88,12.47,12.1,175.59,12237.82,259.52,25.35,70.32,0.0010189723333077297,0.0020714473656255773
Bangladesh,Rajshahi,2023,250.8,138.16,199.43,2.58,0.6,11.24,17.7,126.8,18354.95,343.85,20.87,68.53,0.0006123688705226655,0.0011370229829010703
Bangladesh,Rajshahi,2023,341.94,172.08,334.66,3.23,0.44,21.51,17.58,165.07,28305.94,448.14,9.78,62.53,0.000759911170588223,0.00034551051828697436
Bangladesh,Rajshahi,2023,256.29,124.62,266.99,3.42,0.29,15.1,8.17,72.59,24987.23,283.0,12.47,68.06,0.0006043086808741905,0.0004990549172517322
Bangladesh,Rajshahi,2023,284.42,192.39,260.62,5.49,0.68,13.71,8.63,173.46,18950.01,275.4,17.58,66.39,0.0007234824678192783,0.0009277039959345668
Bangladesh,Rajshahi,2023,258.99,106.47,263.82,3.24,0.34,10.68,11.71,93.62,14675.19,252.13,23.1,67.92,0.000727758891026283,0.0015740852418265113
Bangladesh,Rajshahi,2023,197.28,113.52,188.35,3.78,0.69,17.47,6.09,150.8,14808.05,248.45,23.47,72.15,0.001179763709603898,0.0015849487272125635
Bangladesh,Rajshahi,2023,329.2,228.77,307.02,5.29,0.5,19.1,12.08,77.81,24416.75,364.56,11.8,63.21,0.0007822498899321163,0.00048327480110989387
Bangladesh,Rajshahi,2023,283.29,186.88,290.13,4.88,0.86,14.71,9.62,79.25,26643.41,301.99,11.05,66.27,0.0005521065058864462,0.0004147367022464467
Bangladesh,Sylhet,2014,347.95,217.54,297.03,3.29,1.06,21.11,14.33,160.54,24859.76,403.04,15.03,62.12,0.0008491634673866522,0.0006045915165713587
Bangladesh,Sylhet,2014,273.47,172.89,201.72,3.53,0.75,19.25,13.77,64.73,20771.75,360.25,17.96,66.9,0.000926739441789931,0.0008646358636128395
Bangladesh,Sylhet,2014,271.59,175.36,210.05,5.28,1.07,15.96,9.59,124.21,24628.94,297.73,13.3,67.14,0.0006480181445080463,0.0005400151204233719
Bangladesh,Sylhet,2014,263.82,156.59,214.34,5.1,1.31,24.29,13.43,63.94,14994.0,402.75,23.82,67.54,0.0016199813258636786,0.0015886354541816727
Bangladesh,Sylhet,2014,239.58,126.2,171.59,4.14,0.38,21.18,13.0,65.15,11409.14,345.83,25.59,69.16,0.0018564063549049272,0.0022429385562803155
Bangladesh,Sylhet,2014,239.57,137.52,180.42,1.98,1.05,10.55,8.56,142.2,28861.07,248.79,12.32,69.31,0.0003655443128061434,0.0004268726003575058
Bangladesh,Sylhet,2014,252.91,168.43,228.42,3.4,0.83,10.25,9.13,63.57,21356.48,247.48,17.74,68.27,0.00047994800641304187,0.0008306612325626694
Bangladesh,Sylhet,2014,275.74,163.19,195.38,3.39,0.87,16.29,17.54,64.93,18408.05,373.03,20.83,66.75,0.0008849389261763196,0.0011315701554482957
Bangladesh,Sylhet,2014,269.05,174.76,280.03,4.65,0.47,16.25,14.31,73.09,8563.18,328.45,28.2,67.21,0.0018976595143392991,0.0032931691264226604
Bangladesh,Sylhet,2014,354.42,187.55,261.43,5.31,0.31,23.03,15.07,173.01,24869.76,414.31,10.77,61.72,0.0009260242157543942,0.0004330560487917857
Bangladesh,Sylhet,2014,222.23,100.74,168.88,3.16,0.92,12.96,14.24,135.39,17439.58,297.91,22.17,70.46,0.0007431371627069,0.0012712462112046275
Bangladesh,Sylhet,2014,200.31,100.65,203.54,2.05,0.73,24.9,10.39,147.06,9533.23,363.63,30.6,71.94,0.002611916422870318,0.003209825001599668
Bangladesh,Sylhet,2014,308.83,158.93,230.97,4.8,1.42,16.67,15.27,90.07,26509.3,377.08,12.96,64.59,0.0006288359179608666,0.00048888503279981
Bangladesh,Sylhet,2014,228.99,92.53,239.79,2.54,1.09,17.61,8.94,138.58,19021.06,294.31,21.7,70.01,0.0009258159114160829,0.0011408407312736514
Bangladesh,Sylhet,2014,279.09,140.16,296.86,5.5,0.11,21.52,14.9,160.62,14106.98,392.32,20.72,66.72,0.0015254859651037996,0.0014687764496724316
Bangladesh,Sylhet,2014,323.07,142.97,228.81,4.6,0.41,23.21,12.04,167.39,20618.58,360.67,16.0,63.8,0.0011256837279773873,0.0007759991231209908
Bangladesh,Sylhet,2014,202.74,83.12,166.72,2.69,0.43,11.12,9.04,106.87,21589.53,247.69,17.0,71.7,0.0005150644780131851,0.0007874187163870636
Bangladesh,Sylhet,2014,251.92,130.16,253.89,5.19,1.24,16.79,11.95,97.95,17501.43,303.22,21.03,68.4,0.0009593501788139597,0.0012016160965132563
Bangladesh,Sylhet,2015,226.05,104.2,193.56,1.58,0.16,21.7,7.55,58.94,7912.82,310.3,30.98,70.05,0.0027423851420858808,0.003915165516212931
Bangladesh,Sylhet,2015,265.21,168.81,209.28,2.03,0.36,24.93,11.54,131.0,12287.53,370.28,26.76,67.58,0.0020288861960052183,0.0021778176736903187
Bangladesh,Sylhet,2015,302.06,174.04,301.41,3.61,0.52,15.86,17.19,37.73,23198.7,386.06,14.74,64.94,0.000683658998133516,0.0006353804308000017
Bangladesh,Sylhet,2015,242.72,130.36,177.17,4.25,0.58,23.71,9.91,121.63,15225.19,350.04,22.27,69.06,0.0015572876266240355,0.0014627075261458148
Bangladesh,Sylhet,2015,174.3,113.63,187.81,2.96,1.49,12.06,9.54,136.43,7720.34,249.72,33.8,73.65,0.001562107368328338,0.004378045526492356
Bangladesh,Sylhet,2015,273.91,162.73,268.6,5.13,0.29,16.6,7.27,163.86,24597.17,265.25,11.13,67.07,0.0006748743859557829,0.00045249107925830496
Bangladesh,Sylhet,2015,270.81,129.96,219.57,5.69,1.46,20.92,6.01,154.51,23925.96,317.5,14.77,67.26,0.0008743640798530133,0.0006173211022671609
Bangladesh,Sylhet,2015,245.63,105.78,173.37,4.73,0.76,15.58,7.69,167.53,22238.41,258.09,15.3,68.96,0.0007005896554654762,0.0006879988272542867
Bangladesh,Sylhet,2015,273.02,154.41,228.24,2.76,0.41,13.04,8.56,69.11,25176.7,279.08,13.29,66.94,0.0005179392056941537,0.000527869021754241
Bangladesh,Sylhet,2015,302.89,154.59,300.07,2.92,1.1,10.31,16.86,125.51,22180.26,327.5,18.2,65.06,0.0004648277342105098,0.0008205494435141879
Bangladesh,Sylhet,2015,274.92,168.68,268.48,5.67,0.39,21.01,8.53,172.6,16837.35,332.05,18.66,67.02,0.001247821064478674,0.0011082504075760142
Bangladesh,Sylhet,2015,336.33,142.97,345.46,5.37,0.66,21.63,8.09,63.83,27093.98,357.09,9.52,62.71,0.000798332323268859,0.0003513695662283651
Bangladesh,Sylhet,2015,295.55,203.1,312.57,2.86,0.36,15.37,14.25,46.46,29930.12,371.23,8.28,65.39,0.0005135295147496902,0.00027664439701544796
Bangladesh,Sylhet,2015,267.95,122.87,278.86,5.94,0.65,10.69,15.5,135.05,17847.51,306.93,18.16,67.41,0.0005989631046571763,0.0010175088849929206
Bangladesh,Sylhet,2015,219.81,152.19,234.6,5.4,0.57,10.01,16.21,139.97,11193.92,313.99,25.12,70.63,0.0008942354420971385,0.002244075355192819
Bangladesh,Sylhet,2015,234.63,122.71,232.05,2.54,0.44,16.26,14.75,54.5,6235.6,309.7,32.55,69.47,0.0026076079286676502,0.005220026942074539
Bangladesh,Sylhet,2015,173.36,98.32,186.11,2.81,0.74,22.12,7.85,178.3,6233.6,283.74,33.18,73.8,0.0035485112936344968,0.005322766940451745
Bangladesh,Sylhet,2015,256.35,151.14,235.5,1.56,0.66,21.91,11.59,59.67,18990.42,366.41,21.42,68.03,0.0011537396223990834,0.0011279371388310529
Bangladesh,Sylhet,2015,229.96,99.05,220.62,1.59,1.19,21.28,9.18,122.3,11566.9,307.99,30.42,69.91,0.0018397323396934357,0.0026299181284527404
Bangladesh,Sylhet,2016,290.19,142.11,317.3,5.81,1.34,15.72,14.86,69.4,15037.34,344.27,23.18,65.79,0.001045397656766423,0.0015414960358680458
Bangladesh,Sylhet,2016,252.6,128.22,241.28,4.04,0.18,18.18,15.96,60.43,8575.64,356.8,27.92,68.28,0.002119958393775858,0.0032557336828504934
Bangladesh,Sylhet,2016,220.37,140.06,174.55,3.2,0.85,22.46,6.04,142.28,10069.08,273.71,29.27,70.59,0.002230591076841181,0.0029069190035236584
Bangladesh,Sylhet,2016,208.38,128.0,206.74,2.43,0.16,14.18,10.63,139.65,15037.29,277.96,23.03,71.39,0.0009429890625238988,0.0015315259597972772
Bangladesh,Sylhet,2016,261.33,148.94,184.18,5.19,1.23,23.07,9.11,155.5,8245.77,322.85,30.26,67.89,0.0027977981437755355,0.0036697603741069665
Bangladesh,Sylhet,2016,345.95,183.64,347.69,3.23,0.29,12.35,14.9,72.58,29891.27,344.84,7.76,62.08,0.0004131641111267604,0.00025960757103997255
Bangladesh,Sylhet,2016,287.32,162.89,304.9,4.73,0.12,18.65,7.53,40.26,21930.05,292.9,13.71,65.93,0.0008504312575666722,0.000625169573256787
Bangladesh,Sylhet,2016,225.5,143.89,194.48,1.51,0.36,21.76,9.54,120.3,12532.01,318.85,27.05,70.21,0.0017363535458398134,0.0021584725834084078
Bangladesh,Sylhet,2016,317.57,129.99,228.88,5.17,0.11,12.08,14.77,83.22,26241.51,343.89,8.92,64.0,0.00046033936309305376,0.0003399194634759966
Bangladesh,Sylhet,2016,342.56,137.15,313.34,4.59,0.36,21.03,17.89,76.99,20985.44,427.44,15.5,62.32,0.0010021233769699374,0.0007386073391837389
Bangladesh,Sylhet,2016,251.4,158.43,200.17,5.11,1.25,15.35,15.85,131.82,8000.53,329.39,30.65,68.5,0.0019186228912334558,0.0038309961965019815
Bangladesh,Sylhet,2016,265.85,146.68,209.22,4.06,1.07,16.62,17.6,141.77,19903.83,397.6,19.26,67.56,0.0008350151704470948,0.0009676529592545757
Bangladesh,Sylhet,2016,222.3,111.67,171.47,2.25,0.8,22.37,12.31,35.43,5183.9,343.5,34.96,70.25,0.004315283859642354,0.006743957252261811
Bangladesh,Sylhet,2016,215.0,110.23,169.19,2.25,0.33,11.08,11.07,49.15,22698.48,290.88,16.03,70.77,0.00048813841279239846,0.0007062146892655368
Bangladesh,Sylhet,2016,216.41,148.57,162.26,4.64,1.1,12.55,11.51,107.35,7833.18,247.6,30.81,70.79,0.0016021590209850916,0.003933268481000053
Bangladesh,Sylhet,2016,309.71,168.67,300.04,5.17,1.42,18.55,9.72,153.84,23201.61,330.95,15.89,64.66,0.0007995134820385309,0.0006848662657462133
Bangladesh,Sylhet,2016,271.83,114.21,245.36,5.29,0.43,22.21,10.63,176.56,15305.34,329.66,20.69,67.23,0.0014511275149718986,0.0013518157714889052
Bangladesh,Sylhet,2016,205.42,131.04,210.2,3.83,1.28,16.65,8.75,89.76,13464.46,275.17,26.54,71.48,0.0012365887677634306,0.0019711150688553423
Bangladesh,Sylhet,2016,257.82,105.93,244.05,2.92,0.15,15.55,7.61,173.46,25351.35,265.32,12.19,68.16,0.0006133795636129832,0.00048084224311525816
Bangladesh,Sylhet,2016,350.68,225.81,263.27,5.02,0.15,14.41,16.23,52.64,24320.1,374.93,11.1,61.73,0.0005925140110443625,0.00045641259698767686
Bangladesh,Sylhet,2017,208.56,111.2,195.9,3.85,1.03,19.52,6.57,129.01,16051.45,265.96,23.18,71.35,0.0012160895121624525,0.0014441062956929123
Bangladesh,Sylhet,2017,298.7,198.56,249.44,4.19,1.07,24.63,12.51,106.1,21557.84,404.61,17.45,65.3,0.0011425077837111696,0.0008094502974323957
Bangladesh,Sylhet,2017,270.4,109.73,239.05,3.31,0.27,20.71,9.4,33.81,17482.84,329.27,20.02,67.04,0.0011845901466809741,0.001145122874773206
Bangladesh,Sylhet,2017,350.59,190.87,257.53,1.55,1.4,21.34,13.83,124.09,28781.96,400.82,13.86,61.88,0.0007414366499015355,0.0004815516385958427
Bangladesh,Sylhet,2017,338.27,176.36,315.67,4.4,0.25,20.14,11.2,166.09,28946.86,364.89,7.4,62.78,0.0006957576745802481,0.0002556408536193563
Bangladesh,Sylhet,2017,243.79,161.42,219.53,4.96,1.23,13.15,11.21,70.47,13014.42,265.86,25.72,68.89,0.0010104176751633957,0.0019762693996351736
Bangladesh,Sylhet,2017,234.05,146.51,198.28,1.56,0.94,17.02,14.23,98.5,11752.61,339.31,29.51,69.59,0.001448188955474571,0.002510931614339283
Bangladesh,Sylhet,2017,281.95,118.01,197.69,3.11,1.09,24.11,9.31,101.0,20954.76,364.42,19.19,66.41,0.0011505739030177391,0.0009157823807096814
Bangladesh,Sylhet,2017,304.17,152.37,289.16,3.95,1.15,10.95,15.02,152.5,21787.22,315.08,17.72,65.03,0.0005025882145588101,0.0008133208367106955
Bangladesh,Sylhet,2017,203.11,97.74,176.43,2.46,1.49,24.43,15.47,64.98,6116.73,396.93,35.89,71.59,0.003993964095194655,0.005867514178327309
Bangladesh,Sylhet,2017,345.23,173.77,266.51,5.1,0.96,23.59,15.24,122.26,16298.54,401.17,21.49,62.23,0.0014473689054357016,0.0013185230088093778
Bangladesh,Sylhet,2017,312.43,181.57,310.8,4.09,1.4,19.07,17.39,94.72,18744.37,382.58,21.36,64.36,0.0010173721496107898,0.0011395421665278695
Bangladesh,Sylhet,2017,256.26,134.73,208.96,5.7,0.87,23.12,10.48,38.63,8635.84,327.61,28.28,67.99,0.002677214955348872,0.00327472486752881
Bangladesh,Sylhet,2017,276.71,165.41,291.34,4.39,0.61,22.92,9.78,76.01,9430.64,313.21,28.0,66.7,0.002430375881170313,0.0029690455790911327
Bangladesh,Sylhet,2017,226.3,94.85,191.9,3.12,0.12,12.39,7.06,131.68,14401.71,227.97,22.82,70.18,0.0008603145043192789,0.0015845340588027394
Bangladesh,Sylhet,2017,310.17,176.92,286.64,5.66,0.46,13.29,17.56,109.41,22606.91,348.1,13.11,64.54,0.0005878733537666138,0.0005799111864469757
Bangladesh,Sylhet,2017,203.07,112.73,214.03,4.64,1.17,11.87,7.58,138.87,13108.07,237.55,25.75,71.74,0.0009055490243796378,0.0019644387007393157
Bangladesh,Sylhet,2017,321.62,139.09,270.55,4.77,0.85,19.64,15.86,155.68,23595.2,374.4,14.18,63.87,0.0008323726859700278,0.0006009696887502542
Bangladesh,Sylhet,2018,334.98,138.87,316.42,3.81,0.68,23.74,9.21,56.0,25247.26,363.97,12.97,62.78,0.0009403000563229435,0.0005137191124898306
Bangladesh,Sylhet,2018,295.2,167.93,287.45,4.38,1.46,24.49,11.66,120.19,12428.39,353.67,27.56,65.56,0.0019704885347176905,0.002217503634823175
Bangladesh,Sylhet,2018,312.95,173.4,297.5,4.08,0.35,16.65,17.36,175.23,24850.29,393.32,12.12,64.49,0.0006700123016673044,0.0004877206664389027
Bangladesh,Sylhet,2018,306.66,210.39,276.53,1.53,0.56,18.59,13.14,100.93,21795.98,350.12,18.36,64.76,0.0008529095732332292,0.000842357168615497
Bangladesh,Sylhet,2018,183.01,97.8,135.56,2.99,0.54,11.55,8.19,146.1,14465.62,233.61,24.17,73.09,0.0007984448644441095,0.0016708582141657254
Bangladesh,Sylhet,2018,229.92,104.65,235.1,4.38,1.38,13.51,12.58,154.98,12997.69,307.5,26.78,69.98,0.0010394154653634608,0.0020603661112089918
Bangladesh,Sylhet,2018,253.74,112.97,263.91,3.56,1.35,11.43,11.71,177.3,20942.51,270.01,19.54,68.44,0.0005457798516032701,0.0009330304724696324
Bangladesh,Sylhet,2018,295.69,154.52,241.97,1.53,1.0,18.68,15.53,73.67,28514.64,410.39,12.96,65.43,0.0006551020808959889,0.0004545033709000009
Bangladesh,Sylhet,2018,299.66,134.41,303.7,3.95,1.17,11.64,14.88,96.37,23706.33,322.5,15.85,65.22,0.00049100809783716,0.000668597796453521
Bangladesh,Sylhet,2018,271.97,130.28,266.54,5.45,0.19,13.09,8.25,70.43,26795.78,281.29,8.31,67.01,0.0004885097578797855,0.00031012345973880967
Bangladesh,Sylhet,2018,277.86,123.56,263.32,1.82,0.81,15.31,15.33,139.97,25968.35,358.73,14.65,66.76,0.0005895638344369204,0.000564148280502997
Bangladesh,Sylhet,2018,203.52,103.11,143.32,5.98,0.28,15.43,9.06,121.37,7447.75,248.64,27.4,71.67,0.002071766640931825,0.0036789634453358393
Bangladesh,Sylhet,2018,324.5,167.72,244.45,2.67,1.29,18.51,15.91,72.09,24574.13,405.85,16.63,63.51,0.0007532311418552763,0.0006767279248543081
Bangladesh,Sylhet,2018,284.78,198.57,236.72,4.75,1.15,17.14,11.54,44.2,15127.4,292.81,23.57,66.1,0.001133043351798723,0.0015580998717558867
Bangladesh,Sylhet,2019,292.98,203.2,216.66,1.6,0.43,24.55,15.75,134.3,16917.15,421.9,22.76,65.74,0.001451190064520324,0.0013453802797752576
Bangladesh,Sylhet,2019,262.57,121.96,259.04,5.0,1.31,10.72,6.51,71.95,19424.45,207.02,19.52,67.64,0.0005518817778624363,0.001004919058197272
Bangladesh,Sylhet,2019,210.67,114.11,226.0,1.96,0.74,18.43,13.22,137.69,12397.88,337.32,27.88,71.23,0.001486544473732606,0.0022487715641706487
Bangladesh,Sylhet,2019,268.78,133.41,268.22,4.44,0.54,12.44,17.77,165.0,18851.78,340.16,18.35,67.41,0.0006598846368884,0.0009733828847992074
Bangladesh,Sylhet,2019,252.48,131.1,249.28,4.36,1.2,19.31,11.18,150.94,9124.58,297.54,30.13,68.47,0.0021162617895837395,0.0033020697938973627
Bangladesh,Sylhet,2019,209.05,144.01,219.06,3.97,1.28,13.7,13.65,92.95,6372.22,296.2,33.51,71.25,0.0021499571577880236,0.005258763821713626
Bangladesh,Sylhet,2019,331.15,167.42,269.96,5.2,0.71,20.8,14.29,168.34,26822.47,381.77,10.12,63.26,0.0007754692241244001,0.00037729560327591006
Bangladesh,Sylhet,2019,238.27,98.17,257.93,2.83,0.98,13.74,9.41,136.27,17087.23,285.76,23.01,69.39,0.00080410926756414,0.0013466196686063219
Bangladesh,Sylhet,2019,161.23,102.51,153.86,2.73,0.17,17.88,6.71,79.32,5338.77,253.93,32.44,74.41,0.003349086025432824,0.006076305965606309
Bangladesh,Sylhet,2019,162.88,98.84,171.4,3.32,0.77,13.09,9.3,85.48,7057.51,242.07,31.94,74.31,0.0018547618069262388,0.004525675486113374
Bangladesh,Sylhet,2019,319.84,143.33,311.71,4.5,0.43,24.77,8.77,136.48,25486.99,356.78,11.31,63.95,0.0009718683924621934,0.0004437558142409127
Bangladesh,Sylhet,2019,262.84,118.28,185.98,4.41,1.46,17.57,12.26,168.94,12165.18,309.55,27.8,67.82,0.0014442860689278744,0.0022852107408192894
Bangladesh,Sylhet,2019,252.01,108.77,239.55,3.55,0.72,13.26,15.97,45.53,19137.81,318.1,19.47,68.29,0.0006928692467946959,0.0010173577854519402
Bangladesh,Sylhet,2019,239.85,115.39,173.67,2.83,0.18,10.4,11.05,85.75,14829.99,237.67,22.89,69.18,0.0007012816596639647,0.0015434939605488609
Bangladesh,Sylhet,2019,222.0,119.36,167.13,3.06,0.88,11.71,15.74,30.87,12136.2,308.33,27.45,70.26,0.0009648819235015903,0.0022618282493696543
Bangladesh,Sylhet,2019,301.78,122.64,269.09,5.44,1.27,10.81,13.22,31.22,27283.19,318.47,11.09,64.94,0.0003962146655138201,0.0004064773950553436
Bangladesh,Sylhet,2019,300.24,150.94,224.78,5.92,1.02,18.22,7.44,154.15,28121.26,303.43,9.01,65.29,0.0006479083796387502,0.00032039816139106144
Bangladesh,Sylhet,2019,303.08,159.95,326.85,3.45,0.39,19.15,13.3,40.24,22467.7,351.18,15.27,64.88,0.0008523346849032166,0.000679642330990711
Bangladesh,Sylhet,2019,183.94,113.84,187.01,4.44,1.02,12.22,13.92,120.26,7426.34,272.34,31.21,72.98,0.0016454942811667658,0.004202608552799899
Bangladesh,Sylhet,2019,169.4,79.31,130.94,2.26,1.24,12.62,9.28,154.85,9352.24,249.72,32.11,74.02,0.0013494093393668254,0.003433402051273278
Bangladesh,Sylhet,2019,226.18,149.52,197.39,4.77,1.45,18.69,6.26,53.14,9130.06,247.1,30.44,70.03,0.002047084027925337,0.00333404161637492
Bangladesh,Sylhet,2019,221.49,136.68,200.82,2.32,1.31,11.98,17.15,50.02,14134.73,319.14,27.46,70.33,0.0008475577531371311,0.0019427325460054773
Bangladesh,Sylhet,2019,294.2,175.39,259.54,3.45,1.14,16.64,13.64,138.16,22882.26,338.15,17.09,65.66,0.0007272008971141837,0.0007468667867596995
Bangladesh,Sylhet,2020,263.98,122.12,236.68,2.65,0.61,20.52,12.31,120.89,21448.03,375.74,17.74,67.64,0.0009567312242662846,0.0008271155905693903
Bangladesh,Sylhet,2020,250.96,143.35,235.07,3.28,1.15,17.55,13.43,38.66,17702.78,347.01,22.46,68.35,0.000991369717072686,0.0012687272846411695
Bangladesh,Sylhet,2020,244.98,113.94,204.07,3.05,0.75,24.6,9.73,145.85,8765.1,341.79,30.43,68.96,0.002806585207242359,0.003471723083592885
Bangladesh,Sylhet,2020,268.22,182.93,242.99,5.96,0.12,21.77,13.59,106.69,16132.62,371.65,18.27,67.33,0.0013494398306040803,0.0011324880893494051
Bangladesh,Sylhet,2020,304.61,212.89,281.9,4.55,1.24,12.03,17.14,49.76,23736.42,345.76,15.43,64.79,0.0005068161079050674,0.000650055905650473
Bangladesh,Sylhet,2020,272.33,158.66,237.93,3.47,0.89,21.36,16.4,34.75,15435.46,401.85,23.78,66.91,0.001383826591497759,0.0015406084431562133
Bangladesh,Sylhet,2020,256.71,132.02,203.95,2.57,0.13,12.09,14.22,134.72,26591.06,325.03,11.23,68.16,0.00045466408635082614,0.00042232238955498575
Bangladesh,Sylhet,2020,265.26,147.28,267.67,3.36,1.47,13.55,14.35,139.12,16589.63,302.5,24.45,67.59,0.0008167752987860489,0.0014738122550050844
Bangladesh,Sylhet,2020,315.24,158.75,233.04,4.81,1.06,16.34,14.7,165.78,21749.92,348.66,16.62,64.32,0.0007512671310974938,0.0007641407416670959
Bangladesh,Sylhet,2020,323.68,171.92,332.03,5.3,1.44,12.32,12.72,158.98,29930.83,330.58,9.1,63.74,0.00041161571530091214,0.00030403433516544646
Bangladesh,Sylhet,2020,212.27,110.24,159.31,2.38,1.4,14.12,13.22,37.52,17656.73,318.91,24.16,70.92,0.0007996950737764013,0.0013683167834587719
